Gene,label_encoded,BrainSpinalcordcervicalc1_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,FallopianTube_GTExTPM,Liver_GTExTPM,EsophagusMucosa_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,MuscleSkeletal_GTExTPM,Testis_GTExTPM,Spleen_GTExTPM,Pituitary_GTExTPM,WholeBlood_GTExTPM,AdrenalGland_GTExTPM,GDI_Phred,Effect_SBP_Median,Effect_PP_Median,Effect_DBP_Median,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,ExomiserScore_IncreasedBP_MultiHPOTerms,ExomiserScore_DecreasedBP_MultiHPOTerms,RVIS_genic_intolerance
PDE1B,1.0,3.84815,5.61569,2.47265,12.6566,0.76794,3.38334,4.44733,0.124622,1.19713,4.78424,19.0739,1.29733,7.00806,3.10136,0.9706,0.0001,-0.0001,0.0009,0.774626613,0.946737284,0.06996536,0.502468749,0.503834074,-0.16
AVPR1A,1.0,0.0992919,1.08614,0.956415,9.02131,9.97207,0.835678,0.0273869,0.0281945,1.10581,0.706631,0.470662,0.934033,0.0387486,35.5012,4.01799,-0.0006,0.0009,-0.0012,0.388514519,1.29e-05,0.080074988,0.573702516,0.970139227,-0.25
NDUFA12,1.0,35.4206,42.9839,78.0964,35.764,18.4898,37.7438,66.9428,48.5619,76.8237,35.8515,39.0669,41.638,13.1335,37.7535,0.3772,-0.01155,-0.00085,5e-05,0.218234867,0.002015993,0.104095731,0.500011701,0.500363364,-0.1
FLT3,1.0,3.32469,0.0196975,0.0596041,0.648448,0.0811088,0.399994,0.494588,0.0,0.0381492,2.77523,5.38279,0.0750737,3.43483,0.197492,11.21944,-5e-05,0.0033,-0.0002,0.696868777,0.609047701,0.17404162,0.500736134,0.502352709,0.1
RXFP2,1.0,0.0,0.0,0.0,0.190174,0.0,0.0,0.0,0.0411932,0.0196425,0.524613,0.0145069,0.0,0.0497954,0.243699,6.46394,0.0023,0.0006,0.0045,0.279577017,2.94e-08,0.090887843,0.502673448,0.503883377,-0.18
EDNRB,1.0,15.3792,23.2031,11.8732,26.1792,8.7499,3.00794,0.156333,3.9055,5.43128,2.93654,12.7098,6.63288,0.499284,24.8536,2.16801,0.0036,-0.001,0.012,0.76138556,0.019361522,0.094085815,0.560026938,0.780916865,0.31
PTGER2,1.0,0.531257,5.18348,0.243543,5.33853,0.774575,1.37093,0.659814,54.8665,0.182733,3.58141,19.729,1.156,24.6543,1.08742,1.19803,0.01095,0.00465,-0.001,0.515755296,0.105022888,0.078859939,0.6501142,1.0,-0.16
ESR2,1.0,0.105048,1.08199,0.195191,1.05855,0.161012,0.508706,2.26057,0.0343007,0.384489,3.85063,1.2617,0.787582,0.262009,3.55883,2.13375,-0.0068,-0.0002,-0.00455,0.563732088,5.15e-08,0.089629696,0.529754522,0.726779776,-0.95
KCNK10,1.0,2.12447,0.168321,0.00957653,0.00656611,0.00713295,1.05053,0.0228955,0.0,0.0,1.09841,0.0228774,0.669683,0.00706485,0.0272705,5.10072,-0.0027,-0.00085,0.00015,0.646386564,0.007579692,0.0682285,0.0,0.0,-0.38
GABRB3,1.0,1.29129,1.05411,0.178369,0.926308,0.147216,0.277393,0.00941936,0.318395,0.0426017,2.24269,0.249645,13.8341,0.0052848,0.408823,9.11838,0.0001,0.0005,-0.0009,0.80798018,0.99707396,0.177961972,0.500009387,0.513815992,-0.49
GABRG3,1.0,0.0732447,0.0746319,0.0,0.0226041,0.00375467,0.006737,0.0,0.0,0.0,1.8874,0.254591,1.76352,0.0,0.00416581,1.34351,-0.0031,-0.0023,-0.0003,0.80871886,0.993679844,0.203157961,0.50000262,0.500737571,-0.09
NDUFAF1,1.0,21.5288,18.7641,22.7639,19.1309,16.8776,16.711,28.3239,34.5245,33.8049,40.4543,17.8901,19.012,9.33317,37.6666,7.94118,0.0827499999999999,-0.0009499999999999,0.0816,0.240975097,0.00389629,0.088881579,0.500004996,0.527577244,0.58
MGAM,1.0,0.171238,0.534414,0.112877,0.830904,0.243044,0.0651042,0.0150479,0.294892,0.0585028,1.83839,14.9145,0.203455,43.1291,0.0637054,16.91441,0.0002,0.00275,-0.0012,0.431424886,1.55e-23,0.121631664,0.500079212,0.503218357,2.36
CYP19A1,1.0,0.228244,0.0273807,0.060147,0.207228,0.00627946,0.0699947,0.0665872,7.60643,0.0479666,2.67041,0.305508,0.0194052,0.156842,0.353801,6.54736,0.025,0.0044,0.0188,0.322202206,0.00055961,0.080195092,0.522210057,0.797587169,-0.56
CA12,1.0,0.31257,105.491,0.0893567,38.0486,0.140044,90.3666,0.116712,63.9688,0.11126,1.17056,0.693754,7.1247,0.221276,0.158418,1.19656,0.00785,0.0084,0.00625,0.196595117,9.91e-09,0.070285088,0.0,0.0,-0.62
CHRNA3,1.0,0.224993,0.110417,0.0670321,0.0795115,0.00571161,0.130565,0.284571,0.0464428,0.0946701,2.15908,0.139479,1.58278,0.00586167,0.38753,2.3362,0.00745,0.0024999999999999,0.0049,0.390099078,0.007061638,0.257892317,0.500274737,0.807572853,-1.11
CHRNB4,1.0,0.0,0.086073,0.0,0.0219351,0.00688639,0.501678,0.00853215,0.0,0.0,11.1055,0.163756,0.405228,0.0,0.303716,4.7721,0.0129,-0.00195,0.0208,0.282110006,0.018626609,0.203626675,0.500247207,0.518387722,0.73
PDE8A,1.0,39.099,22.986,8.45232,30.8388,20.1172,10.8596,28.6723,24.4503,7.12677,30.097,21.302,24.7527,2.68188,34.6952,3.78359,0.00385,0.003,-0.00115,0.650558949,0.713477057,0.071959201,0.0,0.0,-0.2
GRIN2A,1.0,0.984664,0.20105,0.2898,0.398573,0.0152228,0.117538,0.0567163,0.0095719,0.0223246,1.43504,0.00721744,0.116383,0.00301837,0.0244027,2.38246,-0.0041,-0.002,-0.0003,0.843373597,0.998044808,0.282267688,0.500525762,0.501739645,-1.46
