model,balanced_accuracy,f1_macro,precision_macro,recall_macro
XGB,0.700790513833992,0.7141176470588235,0.7590883190883191,0.700790513833992
LGBM,0.7399063094715269,0.7371901391210853,0.7415279712236234,0.7399063094715269
CatBoost,0.7355292050944225,0.7137820393164315,0.7172495459451981,0.7355292050944225
RF,0.6806141121358513,0.6829184494161046,0.7340709584157861,0.6806141121358513
LR,0.6104377104377103,0.5783876412716424,0.585328774539301,0.6104377104377103
SVC,0.5874615722441809,0.577027488400397,0.5832345743542854,0.5874615722441809
