,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
XGB,0.7342995169082126,0.6926328502415459,0.7962962962962963,0.6304713804713805,0.6502525252525252
LGBM,0.7423510466988729,0.7198067632850241,0.7925084175084175,0.7356902356902357,0.7091750841750842
CatBoost,0.7053140096618358,0.7568438003220611,0.8493265993265994,0.6750841750841751,0.6910774410774411
RF,0.6555958132045089,0.7407407407407408,0.7857744107744108,0.6986531986531986,0.5223063973063973
LR,0.5668276972624798,0.6553945249597423,0.5850168350168351,0.638047138047138,0.6069023569023568
SVC,0.6908212560386473,0.4800724637681159,0.5517676767676768,0.5244107744107743,0.6902356902356902
