model,balanced_accuracy,f1_macro,precision_macro,recall_macro
XGB,0.6333425618309338,0.6330864186544106,0.6668910110420112,0.6333425618309338
LGBM,0.6783001107419712,0.6930132588573128,0.808816701029467,0.6783001107419712
CatBoost,0.6113953488372093,0.5809749783940495,0.5559454931753101,0.6113953488372093
RF,0.6124806201550388,0.5878778947795851,0.5711047833274724,0.6124806201550388
LR,0.6009302325581396,0.5772388765437102,0.5600951919404711,0.6009302325581396
SVC,0.5942635658914729,0.5721897800583975,0.5572340219214064,0.5942635658914729
