Gene,label,HIPred_haploinsufficiency,Effect_DBP_Median,Effect_PP_Median,Effect_SBP_Median,ExomiserScore_DecreasedBP_MultiHPOTerms,ExomiserScore_IncreasedBP_MultiHPOTerms,SDI_essentiality,SDI_Drug_Probability,humancellsensitivity,humancellspecificity,mousecellsensitivity,mousecellspecificity,panglao_ubiquitousness_index,gene_damage_index_score,GDI_Phred,huge_htn_bioindex,pLI_exac,RVIS_genic_intolerance,AdiposeSubcutaneous_GTExTPM,AdiposeVisceralOmentum_GTExTPM,AdrenalGland_GTExTPM,ArteryAorta_GTExTPM,ArteryCoronary_GTExTPM,ArteryTibial_GTExTPM,Bladder_GTExTPM,BrainAmygdala_GTExTPM,BrainAnteriorcingulatecortexBA24_GTExTPM,BrainCaudatebasalganglia_GTExTPM,BrainCerebellarHemisphere_GTExTPM,BrainCerebellum_GTExTPM,BrainCortex_GTExTPM,BrainFrontalCortexBA9_GTExTPM,BrainHippocampus_GTExTPM,BrainHypothalamus_GTExTPM,BrainNucleusaccumbensbasalganglia_GTExTPM,BrainPutamenbasalganglia_GTExTPM,BrainSpinalcordcervicalc1_GTExTPM,BrainSubstantianigra_GTExTPM,BreastMammaryTissue_GTExTPM,CellsCulturedfibroblasts_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CervixEctocervix_GTExTPM,CervixEndocervix_GTExTPM,ColonSigmoid_GTExTPM,ColonTransverse_GTExTPM,EsophagusGastroesophagealJunction_GTExTPM,EsophagusMucosa_GTExTPM,EsophagusMuscularis_GTExTPM,FallopianTube_GTExTPM,HeartAtrialAppendage_GTExTPM,HeartLeftVentricle_GTExTPM,KidneyCortex_GTExTPM,KidneyMedulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,MinorSalivaryGland_GTExTPM,MuscleSkeletal_GTExTPM,NerveTibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,SkinNotSunExposedSuprapubic_GTExTPM,SkinSunExposedLowerleg_GTExTPM,SmallIntestineTerminalIleum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,WholeBlood_GTExTPM
KDR,probable,0.747131348,0.0006,0.0001,0.0056,0.507467761,0.504963291,12.56938871,0.275229532,0.25,0.0110104,0.799479,0.00755889,0.041,2242.88737,8.73853,2.191555888,0.984488112,-1.14,44.8704,73.7194,16.0585,7.75012,19.3253,17.6414,18.058,3.11619,1.88174,3.61626,1.2297,1.45709,2.28256,2.36007,3.819,3.30004,2.27003,4.63236,5.79004,5.42425,47.4201,2.35891,0.0429056,25.648,34.2656,9.18961,7.87964,18.0638,6.03201,21.3433,40.762,11.7644,10.8258,16.4831,12.9215,3.36219,50.7656,9.11644,5.12022,36.2924,10.3064,4.25362,20.563,23.2152,7.70208,10.6382,11.2566,8.0378,11.1801,4.32565,80.1173,78.6393,15.2921,0.0467956
NDUFA2,probable,0.432313383,0.0023,-0.0313,-0.0342,0.500363836,0.500011305,2.00140612,0.070950359,,,,,,11.36697,0.41002,,0.339536516,0.19,46.5403,49.2134,70.5451,45.3123,49.5081,46.4917,41.1873,44.6516,51.1514,46.5659,56.249,47.8658,43.2393,57.4096,41.5414,50.944,50.2741,43.7723,50.4914,49.2105,48.5131,50.434,83.4268,42.3076,48.3925,46.5557,46.4646,43.614,42.2322,42.7319,50.4535,46.4213,51.5371,52.029,66.4913,39.1901,45.5502,45.3135,59.7012,48.2905,50.3087,19.3938,61.6546,53.5864,35.7445,36.9118,43.809,50.8741,46.3662,79.8628,57.7939,41.7234,42.2308,25.2147
NR3C1,probable,0.743477643,0.005,-0.00135,0.00025,0.780916865,0.560026938,8.54887221,0.169293528,0.0,0.0548246,0.0,0.0739814,0.069,135.29579,2.53062,2.868608281,0.311618466,-0.16,34.1259,26.4035,6.20496,22.5118,23.9696,32.6855,18.5162,5.66318,7.19639,6.96365,28.9568,24.2991,9.90739,11.4753,5.81151,8.02036,6.75616,5.74078,11.8533,6.76661,26.1792,33.5869,55.2542,21.144,19.5098,16.427,10.0312,21.7033,11.5512,22.9175,18.5239,8.8275,5.25356,5.35466,8.16735,8.88459,24.7418,11.6789,20.1742,34.46,15.3293,4.94013,19.7816,15.8265,18.2678,20.7671,13.2516,13.2558,8.93919,9.46285,21.373,20.6577,21.8527,9.67008
PDE6A,probable,0.322202206,0.0025,0.0018999999999999,0.00555,0.503858424,0.502615334,1.95986126,0.070320596,,,,,,881.28278,5.78422,,6.61e-12,-0.19,0.0909456,0.0645349,0.815833,0.0445493,0.0531473,0.0494707,0.0540754,0.0394797,0.0291954,0.0450063,0.255371,0.239693,0.032657,0.0300056,0.0275323,0.0400647,0.0598056,0.0428457,0.0492802,0.0361036,0.0857192,0.0444273,0.0439051,0.042107,0.0446502,0.0723354,1.12335,0.0389261,1.53598,0.0406018,0.0841544,0.0458579,0.0444685,0.0110431,0.0206293,0.0103294,0.217264,0.481232,0.0814461,0.0523828,0.282466,0.018942,3.12217,0.148593,0.171865,0.111262,0.0970492,0.0402512,0.0517781,4.58007,0.0339171,0.0475075,0.171945,0.00765115
GLRA1,probable,0.52841568,0.0097,-0.0038,0.00265,0.500720418,0.500005511,14.84925595,0.344473545,,,,,,149.47271,2.66552,,0.076492455,-0.51,0.0189873,0.0209657,0.0258022,0.0186142,0.0206403,0.0174719,0.0,0.0519549,0.0380152,0.0746039,0.312294,0.313808,0.056136,0.0648376,0.0245458,0.809802,0.0446211,0.131021,0.253122,0.57414,0.0186995,0.0262678,0.025818,0.0,0.0,0.0,0.0123713,0.0183361,0.0,0.0172828,0.0529502,0.0102127,0.0,0.00852298,0.019484,0.0,0.0236625,0.0,0.0216783,0.030905,0.0,0.0764315,0.0,0.0,0.0,0.0,0.017713,0.0161771,0.0,0.0753694,0.0260417,0.0,0.0,0.0
GRIA1,probable,0.852899194,0.0006,-0.0029,-0.0035,0.503954052,0.501550603,20.69356934,0.560585168,0.0,0.00156642,1.0,0.0694391,0.056,947.1656,5.96106,2.010947411,0.999436341,-1.2,0.668813,1.22823,0.317547,19.4997,2.77007,1.30627,0.184958,27.6155,32.5731,22.7305,41.8028,76.6705,26.3588,34.1009,35.8114,24.6519,31.5937,14.8852,2.7812,5.24265,0.430444,9.6631,0.342437,0.218597,0.305885,0.632942,0.330024,0.834035,0.0869792,0.588929,0.190342,0.323923,0.0613411,0.084813,0.0853696,0.0217742,13.7471,0.113426,0.0903018,1.22686,0.209281,0.0669824,1.64427,0.15023,0.330419,0.328405,0.362429,0.0748498,0.1883,1.32566,0.479791,0.203833,0.33454,0.0108533
ADRA1B,probable,0.666467905,-0.00695,0.0028,0.0018,0.838268562,0.535598287,5.8625731,0.120116413,0.0,0.0,0.0,0.00288869,0.002,27.75985,0.89163,,0.182479135,-0.6,3.84088,7.02644,2.20071,39.5513,3.89401,18.2971,0.65587,3.26655,9.58907,1.94144,1.36877,1.45972,10.3621,11.3554,1.97773,2.7685,1.55167,1.06493,0.373337,0.365898,2.81977,5.5013,0.0557477,0.909753,1.3007,0.873479,1.10882,1.98945,0.282536,1.59167,8.57526,1.64407,1.04637,2.45525,0.757968,8.02553,6.80259,0.221142,0.254699,4.10998,5.43369,0.240638,0.870033,0.728991,0.801768,1.36767,2.01585,19.5126,0.934124,0.704627,3.05377,2.31033,0.5434,0.0
DRD1,probable,0.80871886,0.0013,-0.0021,0.011,0.503883882,0.502671738,6.90158655,0.138087075,,,,,,30.11978,0.96089,1.0,0.89643155,-0.4,0.347033,0.578106,0.347318,0.888674,0.29059,0.357012,1.06525,2.0762,3.50153,29.4642,0.242687,0.447834,4.32026,5.73261,1.05143,0.724427,31.5394,22.4999,0.200328,0.2197,0.279379,0.0,0.0,0.624036,0.713003,0.173863,0.268959,0.230063,0.157945,0.11987,0.608349,0.0126054,0.00978848,0.0832792,0.769099,0.260603,1.08443,0.106722,0.0245457,0.603348,0.118591,0.0279255,0.240361,1.16928,0.109218,0.11766,0.396814,0.150978,0.216686,0.0971598,0.274853,0.444809,0.616814,0.0
FLT4,probable,0.8223508,-0.0104,-0.00215,-0.0032,0.507385843,0.50216954,5.95572568,0.121076197,0.0384615,0.000647668,0.154948,0.00033745,0.007,835.41804,5.65903,,0.999936679,0.71,22.4494,28.679,13.5567,3.23121,7.64623,2.8842,8.92053,1.05724,1.0746,6.27661,0.752457,1.48349,2.04669,1.42757,1.59141,1.43249,1.46285,6.08911,2.16576,1.7058,28.9231,0.0769828,0.0718917,23.795,21.2892,8.22477,5.72581,10.2388,5.96214,9.76749,25.3239,3.6337,4.66467,19.7882,21.0279,4.15037,34.8001,3.36852,2.1537,8.95113,8.3731,1.26877,15.9804,11.454,5.53178,6.74048,12.3512,31.297,4.411,8.66822,64.0465,21.4956,11.924,0.578054
NDUFS4,probable,0.204349279,-0.006,-0.0027,-0.0204,0.50115736,0.500021102,2.61173949,0.075711378,,,,,,31.58455,0.99399,,0.004164996,-0.6,97.98,77.4581,69.7989,96.8412,91.2041,118.122,86.3234,46.1399,53.6224,47.1225,80.5562,70.3057,57.8206,69.9388,40.8105,52.3743,56.0693,40.2618,64.4462,53.7663,90.649,115.761,94.4994,99.1058,89.4879,97.7703,76.0126,88.0585,69.8391,83.5195,86.7984,68.9237,83.1836,61.5225,84.0131,35.4779,67.8185,58.1494,120.331,104.812,114.399,18.1374,67.9446,70.8176,73.4367,76.4815,54.1097,43.6501,59.4,59.1914,81.14,94.6883,84.5991,6.44782
